Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2026-02-14,21,Dewa United FC vs PSM Makassar,2 - 0,Away,PSM,W,7.2,273,249,11,8,0,117,107,149,136,7,1,1,5,4,30,12,2,5,3,2,0,1,1,0,,1,0.46,4,1,6,31,0,0,0,2,2,5,1,,1,0,,,,,,,344,1,38
2026-02-22,22,Dewa United FC vs Borneo FC Samarinda,2 - 1,Home,Borneo,W,6.633333333333333,191,161,28,13,0,109,104,76,52,6,1,1,6,6,39,15,13,0,0,2,0,2,,0,,,0.16,12,2,11,38,2,1,2,1,1,6,0,,,0,,,,,,,232,2,34
2026-02-26,23,Dewa United FC vs Persita Tangerang,1 - 0,Away,Persita,W,7.02,188,155,20,8,0,100,94,76,53,5,0,,2,3,25,17,6,5,4,0,0,,,0,,,0,15,0,12,45,2,1,0,1,6,7,0,,,0,,,,,,,231,4,51
2026-03-01,24,Dewa United FC vs Bhayangkara Presisi FC,0 - 2,Home,Bhayangkara ,L,6.96,300,274,16,12,0,124,119,170,149,9,2,1,3,1,35,14,10,4,4,3,0,1,2,0,,,0.34,6,6,10,42,3,2,0,,1,2,0,,,0,,,,,,,390,1,34
2026-03-15,26,Dewa United FC vs Persija Jakarta,1 - 1,Away,Persija,D,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
2026-04-03,26,Dewa United FC vs PSIM Yogyakarta,1 - 0,Home,PSIM,W,6.88,172,151,14,8,0,93,85,69,62,3,1,,4,5,24,13,2,2,1,2,0,1,1,0,,,0.28,13,3,6,29,2,1,5,1,2,4,0,,,0,,,,,,,225,2,19
2026-04-12,27,Dewa United FC vs Malut United FC,2 - 1,Away,Malut Utd,W,6.775,137,118,11,8,0,67,60,69,57,9,3,1,3,2,21,13,2,5,5,0,0,,,0,,,0,10,2,2,27,0,0,0,3,3,4,0,,0,0,,,,,,,174,1,27
2026-04-20,28,Dewa United FC vs Persib Bandung,2 - 2,Home,Persib,D,6.283333333333333,95,74,18,7,0,47,41,38,27,2,0,,4,7,28,15,6,0,0,0,0,,,0,,,0,18,0,7,29,0,0,0,,2,5,0,1,,0,,,,,,,138,2,35
2026-04-25,29,Dewa United FC vs Madura United FC,2 - 1,Away,Madura Utd,W,6.78,160,129,26,12,1,59,49,95,75,6,2,1,3,7,28,18,3,3,1,2,0,2,,0,,,0.17,8,2,8,34,1,0,2,1,4,6,0,,,0,,,,,,,211,0,38
2026-04-29,30,Dewa United FC vs Persijap Jepara,1 - 0,Home,Persijap,W,6.9,132,105,16,5,0,69,60,57,44,2,0,,3,4,19,12,2,6,4,5,3,2,,0,,,0.37,4,2,5,22,0,0,2,1,4,7,1,1,,0,,,,,,,174,0,29
2026-05-03,31,Dewa United FC vs Semen Padang FC,1 - 0,Home,Semen Padang,W,7.2,287,253,25,9,1,146,140,133,108,6,2,1,3,1,24,16,2,2,1,2,1,1,,0,,,0.05,10,0,10,38,1,1,0,,4,5,0,,,0,,,,,,,347,1,31
2026-05-08,32,Dewa United FC vs PSBS Biak,5 - 0,Away,PSBS,W,7.133333333333333,225,203,12,11,0,76,73,141,124,16,6,2,3,5,20,13,3,4,3,2,1,1,,0,,,0.21,3,1,8,33,2,1,0,1,5,8,0,,,0,,,,,,,272,0,35
