Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2026-02-07,20,Bhayangkara Presisi FC vs Borneo FC Samarinda,1 - 2,Home,Borneo,L,6.6,152,122,28,14,0,73,63,74,55,6,2,,8,7,35,19,6,3,2,5,1,2,2,0,1,1,0.54,15,0,9,44,6,3,1,1,3,8,0,,,0,,,,,,,203,4,43
2026-02-14,21,Bhayangkara Presisi FC vs Persebaya Surabaya,2 - 1,Away,Persebaya,W,6.65,101,70,22,8,0,54,48,37,16,3,0,,8,13,32,26,7,5,4,2,0,2,,0,,1,0.56,17,3,7,43,2,1,2,1,4,9,0,,,0,,,,,,,140,3,50
2026-02-20,22,Bhayangkara Presisi FC vs Persik Kediri,4 - 3,Away,Persik,W,6.78,57,33,27,12,0,18,11,32,18,3,0,2,7,6,28,17,6,2,2,3,2,1,,2,,,0.76,26,2,13,36,1,0,1,,0,10,0,,,0,,,,,,,94,0,37
2026-02-24,23,Bhayangkara Presisi FC vs Semen Padang FC,4 - 0,Home,Semen Padang,W,7.12,156,139,23,14,0,67,66,77,64,2,2,2,4,7,32,15,5,2,2,2,1,,1,0,,,0.14,13,1,12,38,4,1,0,,0,5,1,,,0,,,,,,,213,0,25
2026-03-01,24,Bhayangkara Presisi FC vs Dewa United FC,2 - 0,Away,Dewa Utd,W,7,113,88,25,11,0,67,62,37,21,0,0,,2,4,22,11,7,1,0,1,0,,1,0,,,0.12,14,4,6,27,0,0,1,2,0,3,0,,,0,,,,,,,152,0,33
2026-03-10,25,Bhayangkara Presisi FC vs Arema FC,2 - 1,Home,Arema,W,6.56,115,83,27,13,0,55,44,58,37,2,1,,5,7,39,17,2,3,1,4,2,2,,0,2,1,0.58,12,2,2,37,3,2,2,1,2,6,0,,,0,,,,,,,155,1,42
2026-04-05,26,Bhayangkara Presisi FC vs Persija Jakarta,3 - 2,Home,Persija,W,6.66,196,165,30,13,1,95,84,99,79,4,1,1,3,3,18,9,1,0,0,1,0,1,,0,,,0.02,15,0,6,28,2,1,0,,3,4,1,,,0,,,,,,,249,0,28
2026-04-11,27,Bhayangkara Presisi FC vs Persijap Jepara,1 - 2,Away,Persijap,L,6.86,203,163,36,15,0,81,75,113,81,6,2,4,6,11,32,29,6,4,3,2,2,,,0,,1,0.41,18,1,10,49,4,3,1,2,3,6,0,,,0,,,,,,,271,1,48
2026-04-17,28,Bhayangkara Presisi FC vs PSIM Yogyakarta,2 - 1,Home,PSIM,W,6.86,118,92,15,7,0,62,52,50,37,2,0,,7,6,32,19,4,2,2,3,2,1,,1,,,0.35,11,4,6,29,0,0,0,,4,8,0,,,0,,,,,,,157,0,28
2026-04-22,29,Bhayangkara Presisi FC vs Persis Solo,1 - 2,Away,Persis,L,6.66,166,135,15,6,0,77,68,80,60,9,3,1,3,5,24,19,5,3,3,1,0,,1,0,,,0,10,5,10,36,3,1,3,,1,7,0,,,0,,,,,,,204,0,35
2026-04-30,30,Bhayangkara Presisi FC vs Persib Bandung,? - ?,Home,Persib,D,6.02,83,47,28,6,0,51,35,27,11,2,0,,11,5,43,17,6,1,1,0,0,,,0,,,0,25,3,8,41,4,2,4,,1,7,0,,,0,,,,,,,121,2,47
2026-05-04,31,Bhayangkara Presisi FC vs PSM Makassar,1 - 2,Away,PSM,L,6.616666666666667,158,131,30,22,0,56,49,98,80,6,2,3,9,10,32,21,3,3,3,2,0,1,1,0,,,0.02,5,3,4,34,1,1,2,5,0,5,0,,,0,,,,,,,209,0,35
2026-05-11,32,Bhayangkara Presisi FC vs Madura United FC,3 - 1,Home,Madura Utd,W,6.72,209,178,18,7,0,64,62,141,112,13,3,1,7,7,31,14,6,1,0,4,1,2,1,0,,,0.16,12,1,6,34,1,1,2,1,0,5,0,,,0,,,,,,,257,0,30
