Date,Round,Match,Score,Venue,Opponent,Result,Avg Rating,Passes,Acc. Passes,Long Balls,Acc. Long Balls,Assists,Own Half Passes,Acc. Own Half Passes,Opp Half Passes,Acc. Opp Half Passes,Crosses,Acc. Crosses,Key Passes,Aerial Duels Lost,Aerial Duels Won,Duels Lost,Duels Won,Challenges Lost,Contests,Contests Won,Shots,Shots on Target,Shots off Target,Shots Blocked,Goals,Hit Woodwork,Big Chances Missed,xG,Clearances,Blocked Shots,Interceptions,Ball Recoveries,Tackles,Tackles Won,Errors → Shot,Dispossessed,Fouls Drawn,Fouls Committed,Offsides,Pen. Conceded,Pen. Won,Own Goals,Crosses Not Claimed,High Claims,Saves (Box),Saves,Sweeper Actions,Acc. Sweeper Actions,Touches,Unsuccessful Touches,Possession Lost
2026-02-15,21,Arema FC vs Semen Padang FC,3 - 0,Home,Semen Padang,W,6.8,112,89,22,11,0,59,48,47,37,4,0,1,4,7,32,17,8,1,1,0,0,,,0,,,0,22,0,8,35,3,1,0,1,1,3,0,,,0,,,,,,,152,5,32
2026-02-21,22,Arema FC vs Madura United FC,2 - 2,Away,Madura Utd,D,6.6,129,102,18,8,0,64,56,59,41,6,2,2,4,4,27,11,2,1,1,0,0,,,0,,,0,16,5,12,36,1,1,2,,2,6,0,,,0,,,,,,,174,1,32
2026-02-26,23,Arema FC vs Borneo FC Samarinda,1 - 3,Away,Borneo,L,6.533333333333333,210,180,20,14,0,104,100,102,76,11,2,2,4,4,26,18,2,9,7,3,0,3,,0,,,0.05,7,0,5,32,1,0,0,1,1,5,0,,,0,,,,,,,274,1,35
2026-03-06,24,Arema FC vs Bali United FC,3 - 4,Home,Bali Utd,L,6.64,169,139,13,6,1,77,66,85,68,14,7,4,6,5,22,19,5,4,3,1,0,1,,0,,,0.03,5,3,10,45,1,1,0,,6,4,0,,,0,,,,,,,220,0,43
2026-03-10,25,Arema FC vs Bhayangkara Presisi FC,1 - 2,Away,Bhayangkara ,L,6.433333333333334,81,49,24,11,0,36,24,34,18,7,2,2,6,7,35,22,9,10,6,0,0,,,0,,,0,12,1,10,36,2,0,0,,7,6,0,1,,0,,,,,,,120,3,32
2026-04-03,26,Arema FC vs Malut United FC,1 - 1,Home,Malut Utd,D,6.933333333333334,101,81,12,6,0,59,50,38,28,1,0,,1,4,9,10,1,1,1,0,0,,,0,,,0,11,2,4,23,0,0,0,,2,2,0,,,0,,,,,,,132,0,23
2026-04-10,27,Arema FC vs Persita Tangerang,1 - 0,Away,Persita,W,6.828571428571428,220,185,23,11,0,130,118,83,62,7,1,,4,7,34,29,12,5,4,2,1,,1,0,,,0.05,15,3,10,43,0,0,2,,7,9,0,,,0,,,,,,,284,2,46
2026-04-18,28,Arema FC vs Persis Solo,2 - 0,Home,Persis,W,7.066666666666666,243,221,21,9,1,158,152,82,67,3,2,1,4,7,23,15,1,2,2,1,0,1,,0,,,0.12,15,2,8,33,1,1,0,1,3,7,0,,,0,,,,,,,299,1,33
2026-04-24,29,Arema FC vs Persib Bandung,0 - 0,Away,Persib,D,6.983333333333333,141,113,15,8,0,85,73,50,35,2,1,1,8,7,42,21,6,4,3,0,0,,,0,,,0,19,8,13,41,3,3,4,2,3,2,0,,,0,,,,,,,211,0,50
2026-04-28,30,Arema FC vs Persebaya Surabaya,0 - 4,Home,Persebaya,L,6.3,247,212,21,12,0,108,101,131,106,8,0,3,5,3,34,21,2,3,3,3,1,2,,0,,,0.08,9,0,10,39,3,1,0,,3,6,1,1,,0,,,,,,,321,0,38
2026-05-03,31,Arema FC vs Persik Kediri,2 - 3,Away,Persik,L,6.516666666666667,242,203,31,17,1,116,105,116,91,11,3,3,6,8,29,23,4,3,1,3,2,1,,1,,,0.56,2,0,8,44,1,1,5,3,6,6,1,,,0,,,,,,,289,0,49
2026-05-09,32,Arema FC vs PSM Makassar,3 - 0,Home,PSM,W,6.671428571428572,134,107,23,14,0,79,70,53,37,2,1,3,9,4,49,17,7,1,1,0,0,,,0,,,0,10,1,4,25,3,1,0,2,3,7,0,,,0,,,,,,,174,0,33
